Código,Nome,UF
120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,RJ
273167,01.DISTRITO RODOVIARIO FEDERAL/DNER/MT/AM,AM
273011,03.DISTRITO RODOVIARIO FEDERAL - CE,CE
273028,04.DISTRITO RODOVIARIO FEDERAL,PE
273043,05.DISTRITO RODOVIARIO FEDERAL,BA
273056,06.DISTRITO RODOVIARIO FEDERAL,MG
273100,08.DISTRITO RODOVIARIO FEDERAL,SP
273110,09.DISTRITO RODOVIARIO FEDERAL,PR
167250,1 BATALHAO DE COMUNICACOES DIVISIONARIO,RS
160250,1 BATALHAO DE COMUNICACOES DIVISIONARIO/RS,RS
160252,1 BATALHAO DE ENGENHARIA DE COMBATE/RJ,RJ
160339,1 BATALHAO DE ENGENHARIA DE CONSTRUCAO,RN
167339,1 BATALHAO DE ENGENHARIA DE CONSTRUCAO,RN
167253,1 BATALHAO DE GUARDA,RJ
160253,1 BATALHAO DE GUARDA/RJ,RJ
167006,1 BATALHAO DE INFANTARIA DE SELVA,AM
160006,1 BATALHAO DE INFANTARIA DE SELVA/AM,AM
167254,1 BATALHAO DE INFANTARIA MOTORIZADO (ES),RJ
160254,1 BATALHAO DE INFANTARIA MOTORIZADO(ES)/RJ,RJ
167255,1 BATALHAO DE POLICIA DO EXERCITO,RJ
160255,1 BATALHAO DE POLICIA DO EXERCITO/RJ,RJ
167256,1 BATALHAO LOGISTICO,RJ
160256,1 BATALHAO LOGISTICO/RJ,RJ
160257,1 CIRCUNSCRICAO DE SERVICO MILITAR/RJ,RJ
167030,1 COMPANHIA DE INFANTARIA,BA
160030,1 COMPANHIA DE INFANTARIA,BA
167382,1 DIVISAO DE LEVANTAMENTO,RS
160382,1 DIVISAO DE LEVANTAMENTO/RS,RS
160338,1 ESQUADRAO DE CAVALARIA LEVE,RJ
167338,1 ESQUADRAO DE CAVALARIA MECANIZADO,RJ
167259,1 GRUPO DE ARTILHARIA ANTIAEREA,RJ
160259,1 GRUPO DE ARTILHARIA ANTIAEREA/RJ,RJ
160260,1 GRUPO DE ARTILHARIA DE CAMPANHA DA SELVA,PA
167260,1 GRUPO DE ARTILHARIA DE CAMPANHA DE SELVA,RJ
167261,1 INSPETORIA DE CONTABILIDADE E FINANCAS,RJ
160540,1 INSPETORIA DE CONTABILIDADE E FINANCAS - RJ,RJ
160261,1 INSPETORIA DE CONTABILIDADE E FINANCAS/RJ,RJ
167262,1 REGIMENTO DE CARROS DE COMBATE,RJ
160262,1 REGIMENTO DE CARROS DE COMBATE/RS,RS
167052,1 REGIMENTO DE CAVALARIA DE GUARDA,DF
160052,1 REGIMENTO DE CAVALARIA DE GUARDA-MEX/DF,DF
167376,1 REGIMENTO DE CAVALARIA MECANIZADO,RS
160376,1 REGIMENTO DE CAVALARIA MECANIZADO/RS,RS
795120,1.BATALHAO DE INFANTARIA DE FUZILEIROS NAVAIS,RJ
167307,1.DEPOSITO DE SUPRIMENTO,RJ
160307,1.DEPOSITO DE SUPRIMENTO/RJ,RJ
167022,1/1 BATALHAO DE ENGENHARIA DE CONSTRUCAO,AM
240023,1ª REUNIãO DE CH. DE E. DA COM. S.A.DE NAÇÕES,DF
926549,1ª SUBSEçãO JUD DE VITóRIA DA CONQUISTA,BA
160447,1º BATALHãO FERROVIáRIO,SC
926006,1º CENTRO REGIONAL DE SAÚDE,PA
167447,10 BATALHAO DE ENGENHARIA DE CONSTRUCAO,SC
167114,10 BATALHAO DE INFANTARIA,MG
160114,10 BATALHAO DE INFANTARIA,MG
167354,10 BATALHAO LOGISTICO,RS
160354,10 BATALHAO LOGISTICO/RS,RS
167355,10 CIRCUNSCRICAO DE SERVICO MILITAR,RS
160355,10 CIRCUNSCRICAO DE SERVICO MILITAR/RS,RS
130081,10 DISTRITO DE METEOROLOGIA DE GOIANIA,GO
167184,10 ESQUADRAO DE CAVALARIA MECANIZADO,PE
