;Abertura da Proposta;Edital;Endereço;Entrega da Proposta;Fax;Objeto;Telefone;preg_cod
0; em 05/10/2010 às 09:00Hs, no endereço: www.comprasnet.gov.br;22/09/2010 das 09:00 às 11:00 Hs e das 13:00 às 15:00 Hs;ENDEREÇO: Praia da Bica, 1361, Jd. Guanabara - Ilha do Governador - Rio de Janeiro (RJ); a partir de 22/09/2010 às 09:00Hs;(0xx21) 21265800      ;Objeto: Pregão Eletrônico -  Impermeabilização da Bacia de Contenção do Tanque ´P´ deste Depósito.;(0xx21) 21265800;22010
1; em 06/10/2010 às 09:00Hs, no endereço: www.comprasnet.gov.br;22/09/2010 das 09:00 às 11:00 Hs e das 13:00 às 15:00 Hs;ENDEREÇO: Praia da Bica, 1361 - jardim Guanabara - Ilha do Governador - Rio de Janeiro (RJ); a partir de 22/09/2010 às 09:00Hs;(0xx21) 21265800      ;Objeto: Pregão Eletrônico -  Registro de Preços para fornecimento de mangotes para chatas e caminhões-pipa deste Depósito.;(0xx21) 21265800;32010
2; em 27/08/2010 às 09:00Hs, no endereço: www.comprasnet.gov.br;16/08/2010 das 09:00 às 11:30 Hs e das 13:30 às 15:30 Hs;ENDEREÇO: Praia da Bica, 1.361 - Jardim Guanabara - Rio de Janeiro (RJ); a partir de 16/08/2010 às 09:00Hs;(0xx21) 21265980      ;Objeto: Pregão Eletrônico -  Contratação de serviço de manutenção da Chata de Combustível n¨ 7, deste Depósito, conforme especificações do Termo de Referência anexo ao Edital.;(0xx21) 21265980;42010
3; em 24/11/2010 às 09:00Hs, no endereço: www.comprasnet.gov.br;09/11/2010 das 09:00 às 11:30 Hs e das 13:30 às 15:00 Hs;ENDEREÇO: Praia da Bica, 1361 - Jardim Guanabara - Ilha do Governador - Rio de Janeiro (RJ); a partir de 09/11/2010 às 09:00Hs;(0xx21) 21265980      ;Objeto: Pregão Eletrônico -  Contratação de serviço de manutenção geral da chata de combustível nº 8 deste Depósito, conforme termo de Referência anexo ao Edital.;(0xx21) 21265978;52010
4; em 08/11/2010 às 09:00Hs, no endereço: www.comprasnet.gov.br;25/10/2010 das 08:30 às 11:30 Hs e das 13:30 às 15:00 Hs;ENDEREÇO: Praia da Bica, 1361, Jardim Guanabara, Rio de Jane - Ilha do Governador - Rio de Janeiro (RJ); a partir de 25/10/2010 às 08:30Hs;(0xx21) 21265980      ;Objeto: Pregão Eletrônico -  Contratação de serviço de manutenção, fornecimento e substituição de elementos filtrantes da rede de querosene de aviação (JP-5) do Depósito de Combustíveis da Marinha no Rio de Janeiro;(0xx21) 21265978;62010
5; em 25/11/2010 às 09:00Hs, no endereço: www.comprasnet.gov.br;10/11/2010 das 08:30 às 11:30 Hs e das 13:30 às 15:00 Hs;ENDEREÇO: Praia da Bica 1361 - Jardim Guanabara - Ilha do Governador - Rio de Janeiro (RJ); a partir de 10/11/2010 às 08:30Hs;(0xx21) 21265980      ;Objeto: Pregão Eletrônico -  Contratação de serviços de manutenção geral do tanque de combustível ´P´, deste Depóstio, conforme Termo de Referência anexo ao Edital.;(0xx21) 21265974;72010
6; em 23/11/2010 às 09:00Hs, no endereço: www.comprasnet.gov.br;09/11/2010 das 08:30 às 11:30 Hs e das 13:30 às 15:00 Hs;ENDEREÇO: Praia da Bica, 1361 - Jardim Guanabara - Rio de Janeiro (RJ); a partir de 09/11/2010 às 08:30Hs;(0xx21) 21265980      ;Objeto: Pregão Eletrônico -  Manutenção geral no tanque de combustível E do Depósito de Combustíveis da Marinha no Rio de Janeiro;(0xx21) 21265978;92010
7; em 29/11/2010 às 09:00Hs, no endereço: www.comprasnet.gov.br;16/11/2010 das 09:00 às 11:30 Hs e das 13:30 às 15:00 Hs;ENDEREÇO: Praia da Bica 1361 - Jardim Guanabara - Ilha do Governador - Rio de Janeiro (RJ); a partir de 16/11/2010 às 09:00Hs;(0xx21) 21265980      ;Objeto: Pregão Eletrônico -  Contratação de serviço de manutenção dos tanques do posto de combustíveis localizado na Base de Abastecimento da Marinha no Rio de Janeiro;(0xx21) 21265974;122010
8; em 27/07/2011 às 09:00Hs, no endereço: www.comprasnet.gov.br;15/07/2011 das 09:00 às 11:30 Hs e das 13:30 às 15:00 Hs;ENDEREÇO: Paraia da Bica, 1.361 - Ilha do Governador - Rio de Janeiro (RJ); a partir de 15/07/2011 às 09:00Hs;(0xx21) 21265980      ;Objeto: Pregão Eletrônico -  Aquisição de tambores em chapa de aço com capacidade de 200 litros, tipo tampa fixa, na sistemática de Registro de Preços.;(0xx21) 21265980;12011
9; em 23/11/2011 às 09:00Hs, no endereço: www.comprasnet.gov.br;09/11/2011 das 08:30 às 11:30 Hs e das 13:30 às 15:30 Hs;Praia da Bica 1361 - Ilha do Governador -  - Rio de Janeiro (RJ); a partir de 09/11/2011 às 08:30Hs;(0xx21) 21265980      ;Objeto: Pregão Eletrônico -  Serviço de elaboração de desenhos técnicos, plantas, esquemas isométricos, fluxogramas e folhas de dados referentes ao sistema de abastecimento do Depósito de Combustíveis da Marinha no Rio de Janeiro (DepCMRJ), conforme o PROGRAMA PARA PROJETO (PPP) Nº PE 1.71210.P18.PPP.001.11, elaborado pela Diretoria de Obras Civis da Marinha, para elaboração de projetos de engenharia, conforme especificações constantes do Anexo A   Termo de Referência - do Edital.;(0xx21) 21265995;22011
10; em 13/10/2011 às 09:00Hs, no endereço: www.comprasnet.gov.br;26/09/2011 das 08:00 às 12:00 Hs e das 13:00 às 15:30 Hs;Praia da Bica 1361 - Ilha do Governador -  - Rio de Janeiro (RJ); a partir de 26/09/2011 às 08:00Hs;(0xx21) 21265980      ;Objeto: Pregão Eletrônico -  Monitoramento e rastreamento  via satélite de um total de 14 (quatorze) veículos;(0xx21) 21265980;32011
11; em 23/11/2011 às 09:00Hs, no endereço: www.comprasnet.gov.br;09/11/2011 das 08:30 às 11:30 Hs e das 13:30 às 15:30 Hs;Praia da Bica 1361 - Ilha do Governador -  - Rio de Janeiro (RJ); a partir de 09/11/2011 às 08:30Hs;(0xx21) 2126980       ;Objeto: Pregão Eletrônico -  Contratação de pessoa jurídica para prestação de serviços continuados de limpeza predial, conservação e jardinagem, com fornecimento de funcionários, equipamentos e material, em regime de empreitada, tipo menor preço global, com área interna de 1.200m  e áreas externas verdes gramadas, ajardinadas e arruamentos com 7200m , nas dependências do DEPÓSITO DE COMBUSTÍVEIS DA  MARINHA NO RIO DE JANEIRO - (DepCMRJ), conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;(0xx21) 21265995;52011
12; em 18/10/2011 às 09:00Hs, no endereço: www.comprasnet.gov.br;05/10/2011 das 08:30 às 11:30 Hs e das 13:00 às 15:30 Hs;Praia da Bica 1361 - Ilha do Governador -  - Rio de Janeiro (RJ); a partir de 05/10/2011 às 08:30Hs;(0xx21)               ;Objeto: Pregão Eletrônico -  Mangotes para as embarcações do tipo  CHATA  e  CAMINHÕES-TANQUE;(0xx21) 23126598;62011
13; em 20/10/2011 às 09:00Hs, no endereço: www.comprasnet.gov.br;07/10/2011 das 08:30 às 11:30 Hs e das 13:00 às 15:30 Hs;Praia da Bica 1361 - Ilha do Governador -  - Rio de Janeiro (RJ); a partir de 07/10/2011 às 08:30Hs;(0xx21)               ;Objeto: Pregão Eletrônico -  Aquisição de extintores portáteis e sobre rodas novos, dentro dos padrões técnicos estabelecidos e regulamentados pela Portaria nº 5, de 14 de janeiro de 2000, do Instituto de Metrologia, Normalização e Qualidade Industrial   INMETRO;(0xx21) 21265980;72011
14; em 19/10/2011 às 09:00Hs, no endereço: www.comprasnet.gov.br;06/10/2011 das 08:30 às 11:45 Hs e das 13:00 às 15:30 Hs;Praia da Bica 1361 - Ilha do Governador -  - Rio de Janeiro (RJ); a partir de 06/10/2011 às 08:30Hs;(0xx21)               ;Objeto: Pregão Eletrônico -  Material de combate e controle a acidente ambiental por vazamento de combustíveis.;(0xx21) 21265980;92011
15; em 08/12/2011 às 09:00Hs, no endereço: www.comprasnet.gov.br;28/11/2011 das 08:30 às 11:30 Hs e das 13:30 às 15:30 Hs;Praia da Bica 1361 - Ilha do Governador -  - Rio de Janeiro (RJ); a partir de 28/11/2011 às 08:30Hs;(0xx21) 22125980      ;"Objeto: Pregão Eletrônico -  Serviço de lavanderia para 500Kh de roupas do Depósito de Combustíveis da Marinha no Rio de Janeiro  (DepCMRJ),  conforme especificado: Pano Verde 50% algodão e 50% poliéster; Lençol 100% algodão  Fronha  100% algodão; Colcha Branca 100% algodão; Toalha de rosto 100% algodão; Toalha de mesa G 100% algodão; Guardanapo 100% algodão; Jaleco poliéster; Toalha de banho 100% algodão; Toalha de mesa M 100% algodão; Toalha de mesa GG 100% algodão.";(0xx21) 21265980;112011
16; em 29/11/2011 às 09:00Hs, no endereço: www.comprasnet.gov.br;17/11/2011 das 09:00 às 11:30 Hs e das 13:30 às 15:00 Hs;Praia da Bica 1361 - Ilha do Governador -  - Rio de Janeiro (RJ); a partir de 17/11/2011 às 09:00Hs;(0xx21) 5980          ;Objeto: Pregão Eletrônico -  Contratação de serviços de engenharia necessários à substituição da estrutura metálica atual do telhado do Separador de Água e óleo do DepCMRJ por estrutura em concreto armado, com a reutilização das telhas existentes, nas especificações e quantitativos estabelecidos, conforme consta no Termo de Referência.;(0xx21) 21265980;162011
17; em 17/11/2011 às 09:00Hs, no endereço: www.comprasnet.gov.br;28/10/2011 das 08:30 às 11:30 Hs e das 13:30 às 15:30 Hs;Praia da Bica 1361 - Ilha do Governador -  - Rio de Janeiro (RJ); a partir de 28/10/2011 às 08:30Hs;(0xx21) 21265980      ;Objeto: Pregão Eletrônico -  Contratação de pessoa jurídica  para realização dos serviços de reparo, pintura, jateamento, arqueação, testes, adaptação, instalação, recuperação, substituição de material e chapas, desgaseificação  e limpeza  dos  tanques, tratamento, revisão, pintura, reposição de acessórios e equipamentos da Chata  de Transporte de Óleo Combustível 04 (CTOC-04) do DEPÓSITO DE COMBUSTÍVEIS DA  MARINHA NO RIO DE JANEIRO  - (DepCMRJ),  conforme condições, quantidades e exigências estabelecidas neste Edital, no e seu  Anexo A, Termo de Referência.;(0xx21) 21265995;172011
18; em 12/12/2011 às 09:00Hs, no endereço: www.comprasnet.gov.br;28/11/2011 das 08:30 às 11:30 Hs e das 13:30 às 15:30 Hs;Praia da Bica 1361 - Ilha do Governador -  - Rio de Janeiro (RJ); a partir de 28/11/2011 às 08:30Hs;               ;Objeto: Pregão Eletrônico -  Aquisição de 200 Paletes de madeira: Item 1(um) - 100 (CEM) PALETES DE 1200X 1200 MM, 02 ENTRADAS, UMA FACE FECHADO NA PARTE DE CIMA (SEM INTERVALOS ENTRE AS TÁBUAS), 120 MM DE ALTURA, 70 MM DE BASE (PEÇA INTEIRA), CONSTRUÍDO COM MADEIRAS DE LEI     e Item 2 (dois) - 100 (CEM) PALETES DE  1200 X 1200 MM, 04 ENTRADAS, DUPLA FACE, ASSOALHO ABERTO, CONSTRUÍDO COM MADEIRA DE LEI,conforme as especificações do Edital.;         ;192011
19; em 15/12/2011 às 09:00Hs, no endereço: www.comprasnet.gov.br;02/12/2011 das 08:30 às 11:30 Hs e das 13:30 às 15:30 Hs;Praia da Bica 1361 - Ilha do Governador -  - Rio de Janeiro (RJ); a partir de 02/12/2011 às 08:30Hs;(0xx21) 21265980      ;Objeto: Pregão Eletrônico -  Contratação de prestação de serviços de Manutenção Corretiva de Empilhadeiras e Paleteiras da Divisão de Abastecimento do Depósito de Combustíveis da Marinha no Rio de Janeiro (DepCMRJ), conforme especificações constantes do Anexo A   Termo de Referência - deste Edital.;(0xx21) 2126598 ;252011
20; em 06/12/2011 às 09:00Hs, no endereço: www.comprasnet.gov.br;23/11/2011 das 08:30 às 11:30 Hs e das 13:30 às 15:30 Hs;Praia da Bica 1361 - Ilha do Governador -  - Rio de Janeiro (RJ); a partir de 23/11/2011 às 08:30Hs;(0xx21) 21265980      ;Objeto: Pregão Eletrônico -  Contratação de empresa especializada para realização do serviço de reforma geral dos sistemas, elétrico e mecânico, das Câmaras Frigoríficas, de gêneros congelados e laticínios, da Divisão de Intendência do Depósito de Combustíveis da Marinha no Rio de Janeiro (DepCMRJ), com a substituição e instalação de equipamentos e acessórios fundamentais ao perfeito funcionamento da mesma, conforme especificado no Termo de Referência, Anexo A ao Edital.;(0xx21) 21265980;272011
21; em 14/12/2011 às 09:00Hs, no endereço: www.comprasnet.gov.br;30/11/2011 das 08:30 às 11:30 Hs e das 13:30 às 15:30 Hs;Praia da Bica 1361 - Ilha do Governador -  - Rio de Janeiro (RJ); a partir de 30/11/2011 às 08:30Hs;(0xx21) 21265980      ;Objeto: Pregão Eletrônico -  Serviços de reparo, pintura, jateamento, arqueação, testes, adaptação, instalação, recuperação, substituição de material e chapas de aço, desgaseificação  e limpeza  dos  tanques, tratamento, revisão, pintura, reposição de acessórios e equipamentos da Chata  de Transporte de Querosene de Aviação 05 (CTQAv-05), conforme condições, quantidades e exigências estabelecidas no Termo de Referência, Anexo A,  deste Edital do DEPÓSITO DE COMBUSTÍVEIS DA  MARINHA NO RIO DE JANEIRO  - (DepCMRJ).;(0xx21) 21265980;412011
22; em 13/03/2012 às 09:00Hs, no endereço: www.comprasnet.gov.br;28/02/2012 das 08:30 às 11:30 Hs e das 13:15 às 15:30 Hs;Praia da Bica 1361 - Ilha do Governador -  - Rio de Janeiro (RJ); a partir de 28/02/2012 às 08:30Hs;(0xx21)               ;Objeto: Pregão Eletrônico -  O objeto da presente licitação é o registro de preços para eventual contratação de serviços     de engenharia para  manutenção nas redes de combustíveis da Divisão de Abastecimento do     Depósito de Combustíveis da Marinha no Rio de Janeiro, com o fornecimento de todo o material    necessário à sua execução, conforme especificado no Termo de Referência, Anexo A deste     edital.;(0xx21) 21265980;12012
23; em 15/03/2012 às 09:00Hs, no endereço: www.comprasnet.gov.br;01/03/2012 das 08:30 às 11:30 Hs e das 13:30 às 15:30 Hs;Praia da Bica 1361 - Ilha do Governador -  - Rio de Janeiro (RJ); a partir de 01/03/2012 às 08:30Hs;(0xx21)               ;Objeto: Pregão Eletrônico -  Contratação de serviços especializados em audiofonia para realização de instalação de equipamentos, com fornecimento dos materiais, para  recuperação do sistema de fonoclama do DepCMRJ, com execução mediante o regime de empreitada por preço global, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;(0xx21) 21265980;22012
