;Abertura da Proposta;Edital;Endereço;Entrega da Proposta;Fax;Objeto;Telefone;preg_cod
0; em 04/03/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;19/02/2010 das 08:30 às 11:30 Hs e das 13:30 às 16:00 Hs;ENDEREÇO: Rua da Candelária, 65 - 2 andar - Centro - Rio de Janeiro (RJ); a partir de 19/02/2010 às 08:30Hs;(0xx21) 25887292      ;Objeto: Pregão Eletrônico -  Gaxeta vedação;(0xx21) 25887139;12010
1; em 13/04/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;29/03/2010 das 08:30 às 11:30 Hs e das 13:30 às 16:00 Hs;ENDEREÇO: Rua da Candelária, 65 - Centro - Rio de Janeiro (RJ); a partir de 29/03/2010 às 08:30Hs;(0xx21) 25887292      ;Objeto: Pregão Eletrônico -  Ar condicionado tipo split;(0xx21) 25887148;22010
2; em 05/03/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;22/02/2010 das 08:30 às 11:30 Hs e das 13:30 às 16:00 Hs;ENDEREÇO: Rua da Candelária, 65. - Centro - Rio de Janeiro (RJ); a partir de 22/02/2010 às 08:30Hs;(0xx21) 25887294      ;Objeto: Pregão Eletrônico -  Selante Silicone;(0xx21) 25887000;32010
3; em 31/03/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;19/03/2010 das 08:30 às 11:30 Hs e das 13:30 às 16:00 Hs;ENDEREÇO: Rua da Candelária, 65. - Centro - Rio de Janeiro (RJ); a partir de 19/03/2010 às 08:30Hs;(0xx21) 25887294      ;Objeto: Pregão Eletrônico -  Pilha Alcalina;(0xx21) 25887000;42010
4; em 04/03/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;19/02/2010 das 08:30 às 11:30 Hs e das 13:30 às 16:00 Hs;ENDEREÇO: Rua da Candelária, 65 - 2 andar - Centro - Rio de Janeiro (RJ); a partir de 19/02/2010 às 08:30Hs;(0xx21) 25887292      ;Objeto: Pregão Eletrônico -  Válvula gaveta;(0xx21) 25887139;52010
5; em 12/08/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;30/07/2010 das 08:30 às 11:30 Hs e das 13:30 às 16:00 Hs;ENDEREÇO: Rua da Candelária, 65. - Centro - Rio de Janeiro (RJ); a partir de 30/07/2010 às 08:30Hs;(0xx21) 25887200      ;Objeto: Pregão Eletrônico -  Resina troca iônica.;(0xx21) 25887071;72010
6; em 02/06/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;20/05/2010 das 08:30 às 11:30 Hs e das 13:30 às 16:00 Hs;ENDEREÇO: Rua da Candelária, 65  12º andar - Centro - Rio de Janeiro (RJ); a partir de 20/05/2010 às 08:30Hs;(0xx21) 25887292      ;Objeto: Pregão Eletrônico -  Exaustor de ar;(0xx21) 25887000;82010
7; em 22/07/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;12/07/2010 das 08:30 às 11:30 Hs e das 13:30 às 16:30 Hs;ENDEREÇO: Rua da Candelária, 65. - Centro - Rio de Janeiro (RJ); a partir de 12/07/2010 às 08:30Hs;(0xx21) 25887294      ;Objeto: Pregão Eletrônico -  Produtos Químicos;(0xx21) 25887000;92010
8; em 21/05/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;06/05/2010 das 08:30 às 11:30 Hs e das 14:00 às 16:00 Hs;ENDEREÇO: Rua da Candelária, 65 - Centro - Rio de Janeiro (RJ); a partir de 06/05/2010 às 08:30Hs;(0xx21) 25887218      ;Objeto: Pregão Eletrônico -  Prestação de Serviços de Locação de 01 Caminhão Limpa Fossa, com Equipe, para realização de Serviços no âmbito da Central Nuclear almirante Álvaro Alberto - CNAAA - em Angra dos Reis  - RJ.;(0xx21) 25887773;102010
9; em 13/07/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;29/06/2010 das 08:30 às 11:30 Hs e das 13:30 às 16:00 Hs;ENDEREÇO: Rua da Candelária, 65 - 2 andar - Centro - Rio de Janeiro (RJ); a partir de 29/06/2010 às 08:30Hs;(0xx21) 25887292      ;Objeto: Pregão Eletrônico -  Engrenagem de bronze;(0xx21) 25887139;112010
