;Abertura da Proposta;Edital;Endereço;Entrega da Proposta;Fax;Objeto;Telefone;preg_cod
0; em 25/01/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;12/01/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - sala 852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 12/01/2010 às 09:00Hs;(0xx21) 25032052      ;Objeto: Pregão Eletrônico -  Registro de Preços de medicamentos para Atenção Básica ou Hospitalares de uso da SMSDC. A licitação será processada exclusivamente por meio eletrônico, sendo utilizado o sistema COMPRASNET, disponibilizado e processado neste sitio.;(0xx21) 25032022;12010
1; em 26/01/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;13/01/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - sala 852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 13/01/2010 às 09:00Hs;(0xx21) 25032052      ;Objeto: Pregão Eletrônico -  Registro de Preços de medicamentos para Atenção Basica ou Hospitalares de uso da SMSDC, conforme Termo de Referencia, parte integrante deste edital.;(0xx21) 25032022;22010
2; em 27/01/2010 às 14:30Hs, no endereço: www.comprasnet.gov.br;14/01/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - sala 852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 14/01/2010 às 09:00Hs;(0xx21) 25032052      ;Objeto: Pregão Eletrônico -  Aquisição de Pulverizadores de longo alcançe para aplicação de inseticidas e larvicidas liquidos.;(0xx21) 25032022;32010
3; em 27/01/2010 às 16:00Hs, no endereço: www.comprasnet.gov.br;14/01/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - sala 852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 14/01/2010 às 09:00Hs;(0xx21) 25032052      ;Objeto: Pregão Eletrônico -  Prestação de Serviço, com a contratação de empresa para efetuar serviço de manutenção preventiva e corretiva em dois equipametos de oftalmologia.;(0xx21) 25032022;42010
4; em 11/02/2010 às 11:00Hs, no endereço: www.comprasnet.gov.br;28/01/2010 das 09:00 às 17:00 Hs ;Rua Afonso Cavalcanti, 455 - sala 852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 28/01/2010 às 09:00Hs;(0xx21) 25032052      ;OBJETO : PREGAO ELETRONICO   Elaboração de sistema de Regsitro de Preços, para posterior aquisição de MEDICAMENTOS, objetivando suprir as necessidades de diversas Unidades de Atenção Basica ou Hospitalares da Rede da SMSDC;(0xx21) 25032022;52010
5; em 01/02/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;19/01/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - sala 852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 19/01/2010 às 09:00Hs;(0xx21) 25032052      ;Objeto: Pregão Eletrônico -  Aquisição de materias de acupuntura para atendes o Programa das Praticas Integrativas Complementares na Rede Básica da SMSDC.;(0xx21) 25032022;62010
6; em 01/02/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;19/01/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - Sala 852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 19/01/2010 às 09:00Hs;(0xx21) 25032052      ;Objeto: Pregão Eletrônico -  Elaboração de sistsma de Registro de Preços para aquisição de material medico, comadre, compadre e bacia, para o serviço de emfermagem do Hospital Municipal Miguel Couto.;(0xx21) 25032022;72010
7; em 01/02/2010 às 16:00Hs, no endereço: www.comprasnet.gov.br;19/01/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - sala 852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 19/01/2010 às 09:00Hs;(0xx21) 25032052      ;Objeto: Pregão Eletrônico -  Elaboração de sistsma de Registro de Preços para posterior aquisição de Lona de Polietileno e Fita de Interdição.;(0xx21) 25032022;82010
8; em 09/02/2010 às 11:00Hs, no endereço: www.comprasnet.gov.br;28/01/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - sala 852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 28/01/2010 às 09:00Hs;(0xx21) 25032052      ;Objeto: Pregão Eletrônico -  Elaboração de Sistema de Registro de Preços, para posterior aquisição de MEDICAMENTOS, objetivando suprir as necessidades de divesas Unidades de Atenção Básica ou Hospitalares da Rede da SMSDC.;(0xx21) 25032022;92010
9; em 10/02/2010 às 11:00Hs, no endereço: www.comprasnet.gov.br;27/01/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - sala 852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 27/01/2010 às 09:00Hs;(0xx21) 25032052      ;Objeto: Pregão Eletrônico -  Elaboração de sistema de Registro de Preços para posterior aquisição de MEDICAMENTOS, objetivando suprir as necessidades de diversas Unidades de Atenção Básicaou Hospitalares da Rede da SMSDC.;(0xx21) 25032022;102010
